Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
CONGO,8.33,0.0,33.33,8.33,0.0,16.67,0.0,4.17,4.17,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,4.17,0.0,4.17,0.0,0.0,0.0,4.17,4.17
COSTA RICA,6.9,1.72,2.59,5.17,2.59,6.03,2.59,1.72,2.59,0.0,2.59,1.72,0.0,17.24,5.17,0.0,22.41,9.48,0.86,0.0,2.59,0.0,1.72,0.0,0.0,4.31
CROATIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CUBA,1.8,0.14,0.25,0.32,2.72,6.68,1.31,1.1,4.98,0.0,1.45,8.45,0.99,43.99,3.78,0.11,0.53,0.53,3.04,2.01,12.19,0.46,0.18,0.28,0.85,1.87
CZECH REPUBLIC,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEM REP OF THE CONGO,1.96,0.0,23.53,5.88,15.69,9.8,0.0,7.84,0.0,0.0,0.0,0.0,1.96,1.96,1.96,0.0,0.0,1.96,7.84,3.92,3.92,0.0,1.96,0.0,5.88,3.92
DENMARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJIBOUTI,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINICAN REPUBLIC,2.48,0.72,25.25,2.04,1.65,0.5,0.06,1.87,0.11,0.0,0.0,0.5,0.39,20.85,2.59,7.81,11.44,18.76,0.66,0.5,0.39,0.11,0.0,0.0,0.28,1.1
EAST TIMOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECUADOR,2.27,1.42,17.77,9.06,3.7,1.49,0.14,1.22,0.58,0.0,0.31,0.85,1.8,3.87,1.05,18.96,16.79,5.56,0.88,0.61,1.66,0.24,0.14,0.27,7.94,1.42
EGYPT,2.31,0.0,4.62,0.0,3.85,4.62,4.62,3.08,0.0,0.0,0.0,1.54,1.54,6.92,17.69,0.77,10.77,7.69,0.77,0.77,1.54,0.77,0.77,0.0,2.31,23.08
EL SALVADOR,5.04,6.73,4.18,0.56,3.39,9.11,1.59,1.78,0.41,0.04,1.56,13.81,5.53,5.92,6.99,4.24,2.62,1.67,0.64,2.89,3.05,0.36,2.49,0.67,2.59,12.14
EQUATORIAL GUINEA,14.29,0.0,0.0,0.0,14.29,7.14,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,0.0,0.0,0.0,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57
ERITREA,11.76,2.94,5.88,2.94,5.88,5.88,8.82,2.94,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,2.94,2.94,5.88,8.82,5.88,5.88,2.94,8.82,2.94
ESTONIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETHIOPIA,3.64,7.27,0.0,0.0,5.45,3.64,1.82,5.45,0.0,0.0,0.0,0.0,0.0,1.82,3.64,0.0,0.0,5.45,1.82,1.82,1.82,3.64,3.64,9.09,9.09,30.91
FIJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FINLAND,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE,4.17,0.0,4.17,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,4.17,4.17,33.33,0.0,4.17,8.33,8.33,4.17,4.17,0.0,0.0,4.17,0.0,4.17,8.33
GABON,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMBIA,13.33,20.0,0.0,0.0,6.67,0.0,0.0,13.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,13.33,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,13.33,0.0
GEORGIA,0.0,2.5,5.0,5.0,1.25,0.0,0.0,2.5,0.0,0.0,1.25,2.5,1.25,5.0,2.5,27.5,7.5,33.75,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25
GERMANY,10.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,0.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,5.0,5.0,10.0
GHANA,9.78,4.35,7.61,1.09,4.35,4.35,1.09,8.7,1.09,0.0,1.09,2.17,0.0,0.0,2.17,9.78,7.61,13.04,1.09,2.17,2.17,1.09,0.0,1.09,0.0,14.13
GREECE,0.0,0.0,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
GRENADA,16.67,0.0,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUADELOUPE,0.0,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUATEMALA,9.03,2.59,4.71,0.9,6.41,5.2,0.83,2.65,0.75,0.03,1.23,6.38,3.68,18.55,13.25,1.04,2.5,3.46,2.13,1.66,3.16,0.72,0.92,0.69,3.56,3.98
GUINEA,8.33,0.0,3.57,3.57,8.33,0.0,0.0,1.19,0.0,0.0,1.19,0.0,0.0,0.0,2.38,28.57,4.76,11.9,3.57,0.0,3.57,2.38,0.0,1.19,4.76,10.71
