Citizenship Country,Female,Male,Unknown,Female (%),Male (%),Unknown (%)
ST. LUCIA,3,26,1,10.0,86.67,3.33
ST. VINCENT-GRENADINES,1,6,0,14.29,85.71,0.0
SUDAN,7,117,0,5.65,94.35,0.0
SURINAME,1,14,0,6.67,93.33,0.0
SWEDEN,1,11,0,8.33,91.67,0.0
SWITZERLAND,0,4,0,0.0,100.0,0.0
SYRIA,0,96,1,0.0,98.97,1.03
TAIWAN,21,19,0,52.5,47.5,0.0
TAJIKISTAN,1,112,0,0.88,99.12,0.0
TANZANIA,3,23,0,11.54,88.46,0.0
THAILAND,4,56,0,6.67,93.33,0.0
TOGO,1,30,0,3.23,96.77,0.0
TONGA,2,20,1,8.7,86.96,4.35
TRINIDAD AND TOBAGO,11,117,2,8.46,90.0,1.54
TUNISIA,2,22,0,8.33,91.67,0.0
TURKIYE,40,357,1,10.05,89.7,0.25
TURKMENISTAN,0,3,0,0.0,100.0,0.0
TURKS AND CAICOS ISLANDS,0,5,3,0.0,62.5,37.5
UGANDA,3,20,0,13.04,86.96,0.0
UKRAINE,22,104,1,17.32,81.89,0.79
UNITED ARAB EMIRATES,0,2,0,0.0,100.0,0.0
UNITED KINGDOM,26,197,1,11.61,87.95,0.45
URUGUAY,10,47,0,17.54,82.46,0.0
USSR,0,17,0,0.0,100.0,0.0
UZBEKISTAN,38,551,1,6.44,93.39,0.17
VENEZUELA,2709,12477,47,17.78,81.91,0.31
VIETNAM,69,707,3,8.86,90.76,0.39
YEMEN,1,35,0,2.78,97.22,0.0
YUGOSLAVIA,0,6,0,0.0,100.0,0.0
ZAMBIA,3,16,0,15.79,84.21,0.0
ZIMBABWE,6,29,1,16.67,80.56,2.78
