Citizenship Country,Apprehension AOR,n_arrests
COLOMBIA,Philadelphia Area of Responsibility,98
COLOMBIA,Phoenix Area of Responsibility,48
COLOMBIA,Salt Lake City Area of Responsibility,237
COLOMBIA,San Antonio Area of Responsibility,313
COLOMBIA,San Diego Area of Responsibility,19
COLOMBIA,San Francisco Area of Responsibility,54
COLOMBIA,Seattle Area of Responsibility,133
COLOMBIA,St. Paul Area of Responsibility,53
COLOMBIA,Washington Area of Responsibility,62
CONGO,Atlanta Area of Responsibility,1
CONGO,Boston Area of Responsibility,6
CONGO,Chicago Area of Responsibility,6
CONGO,Dallas Area of Responsibility,3
CONGO,Denver Area of Responsibility,1
CONGO,Houston Area of Responsibility,2
CONGO,New York City Area of Responsibility,2
CONGO,Newark Area of Responsibility,1
CONGO,Philadelphia Area of Responsibility,1
CONGO,Phoenix Area of Responsibility,1
CONGO,Salt Lake City Area of Responsibility,1
CONGO,San Antonio Area of Responsibility,7
CONGO,St. Paul Area of Responsibility,1
CONGO,Washington Area of Responsibility,2
COSTA RICA,Atlanta Area of Responsibility,10
COSTA RICA,Baltimore Area of Responsibility,6
COSTA RICA,Boston Area of Responsibility,1
COSTA RICA,Buffalo Area of Responsibility,1
COSTA RICA,Chicago Area of Responsibility,7
COSTA RICA,Dallas Area of Responsibility,7
COSTA RICA,Denver Area of Responsibility,2
COSTA RICA,Detroit Area of Responsibility,2
COSTA RICA,El Paso Area of Responsibility,3
COSTA RICA,Harlingen Area of Responsibility,4
COSTA RICA,Houston Area of Responsibility,9
COSTA RICA,Los Angeles Area of Responsibility,3
COSTA RICA,Miami Area of Responsibility,31
COSTA RICA,New Orleans Area of Responsibility,6
COSTA RICA,New York City Area of Responsibility,2
COSTA RICA,Newark Area of Responsibility,37
COSTA RICA,Philadelphia Area of Responsibility,10
COSTA RICA,Salt Lake City Area of Responsibility,4
COSTA RICA,San Antonio Area of Responsibility,10
COSTA RICA,San Francisco Area of Responsibility,3
COSTA RICA,Seattle Area of Responsibility,2
COSTA RICA,St. Paul Area of Responsibility,2
COSTA RICA,Washington Area of Responsibility,3
CROATIA,Denver Area of Responsibility,1
CROATIA,Miami Area of Responsibility,1
CROATIA,San Diego Area of Responsibility,1
CROATIA,St. Paul Area of Responsibility,2
CUBA,Atlanta Area of Responsibility,130
CUBA,Baltimore Area of Responsibility,4
CUBA,Boston Area of Responsibility,8
CUBA,Buffalo Area of Responsibility,23
CUBA,Chicago Area of Responsibility,284
CUBA,Dallas Area of Responsibility,296
CUBA,Denver Area of Responsibility,22
CUBA,Detroit Area of Responsibility,79
CUBA,El Paso Area of Responsibility,155
CUBA,Harlingen Area of Responsibility,151
CUBA,Houston Area of Responsibility,364
CUBA,Los Angeles Area of Responsibility,32
CUBA,Miami Area of Responsibility,935
CUBA,New Orleans Area of Responsibility,150
CUBA,New York City Area of Responsibility,28
CUBA,Newark Area of Responsibility,133
CUBA,Philadelphia Area of Responsibility,44
CUBA,Phoenix Area of Responsibility,42
CUBA,Salt Lake City Area of Responsibility,21
CUBA,San Antonio Area of Responsibility,194
CUBA,San Diego Area of Responsibility,5
CUBA,San Francisco Area of Responsibility,12
CUBA,Seattle Area of Responsibility,51
CUBA,St. Paul Area of Responsibility,121
CUBA,Washington Area of Responsibility,18
CURACAO,New York City Area of Responsibility,1
CYPRUS,Philadelphia Area of Responsibility,1
CZECH REPUBLIC,Atlanta Area of Responsibility,1
CZECH REPUBLIC,Chicago Area of Responsibility,1
CZECH REPUBLIC,Miami Area of Responsibility,7
CZECH REPUBLIC,New Orleans Area of Responsibility,1
CZECHOSLOVAKIA,Salt Lake City Area of Responsibility,1
DEM REP OF THE CONGO,Atlanta Area of Responsibility,6
DEM REP OF THE CONGO,Boston Area of Responsibility,18
DEM REP OF THE CONGO,Chicago Area of Responsibility,14
DEM REP OF THE CONGO,Dallas Area of Responsibility,3
DEM REP OF THE CONGO,Detroit Area of Responsibility,2
DEM REP OF THE CONGO,Harlingen Area of Responsibility,2
DEM REP OF THE CONGO,Houston Area of Responsibility,1
DEM REP OF THE CONGO,Miami Area of Responsibility,1
DEM REP OF THE CONGO,New Orleans Area of Responsibility,2
DEM REP OF THE CONGO,New York City Area of Responsibility,1
DEM REP OF THE CONGO,Philadelphia Area of Responsibility,3
DEM REP OF THE CONGO,Phoenix Area of Responsibility,6
DEM REP OF THE CONGO,Salt Lake City Area of Responsibility,4
DEM REP OF THE CONGO,San Antonio Area of Responsibility,1
DEM REP OF THE CONGO,San Diego Area of Responsibility,1
DEM REP OF THE CONGO,San Francisco Area of Responsibility,1
DEM REP OF THE CONGO,Seattle Area of Responsibility,3
DEM REP OF THE CONGO,St. Paul Area of Responsibility,6
DEM REP OF THE CONGO,Washington Area of Responsibility,3
DENMARK,Miami Area of Responsibility,2
DJIBOUTI,Boston Area of Responsibility,6
DOMINICA,Atlanta Area of Responsibility,1
DOMINICA,Boston Area of Responsibility,1
DOMINICA,Buffalo Area of Responsibility,2
DOMINICA,Miami Area of Responsibility,8
DOMINICA,Philadelphia Area of Responsibility,1
DOMINICAN REPUBLIC,Atlanta Area of Responsibility,71
DOMINICAN REPUBLIC,Baltimore Area of Responsibility,21
DOMINICAN REPUBLIC,Boston Area of Responsibility,513
DOMINICAN REPUBLIC,Buffalo Area of Responsibility,115
