Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
NIGERIA,1.46,0.0,0.0,30.66,32.48,4.01,0.0,0.0,3.28,0.36,0.0,5.84,18.25,0.0,0.0,0.0,0.73,0.36,0.0,2.55,0.0,0.0,0.0,0.0
NORTH MACEDONIA,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,25.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
NORWAY,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAKISTAN,0.0,0.0,0.0,19.19,25.25,7.07,0.0,0.0,13.13,0.0,0.0,8.08,24.24,0.0,0.0,0.0,1.01,0.0,0.0,2.02,0.0,0.0,0.0,0.0
PALAU,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
PANAMA,0.0,0.0,0.0,8.13,19.51,5.69,0.0,0.0,13.82,0.0,0.81,2.44,45.53,0.0,0.0,0.0,3.25,0.0,0.0,0.81,0.0,0.0,0.0,0.0
PAPUA NEW GUINEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARAGUAY,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
PERU,0.49,0.0,0.0,1.51,23.65,1.43,0.0,0.0,8.32,0.0,0.15,5.84,51.98,0.0,0.0,0.04,5.8,0.26,0.0,0.49,0.0,0.0,0.0,0.04
PHILIPPINES,1.67,0.0,0.0,7.5,30.83,23.33,0.0,0.0,0.83,0.0,0.0,19.17,5.83,0.0,0.0,0.83,2.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0
POLAND,1.85,0.0,0.0,9.26,46.3,18.52,0.0,0.0,0.0,0.0,0.0,12.96,5.56,0.0,0.0,0.0,1.85,0.0,0.0,3.7,0.0,0.0,0.0,0.0
PORTUGAL,6.25,0.0,0.0,2.08,45.83,4.17,0.0,0.0,2.08,2.08,0.0,12.5,22.92,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
